,team,opponent,date,result,score,opp_score
514,Miami (FL),Florida State,2017-02-01,L,57,75
515,Miami (FL),North Carolina State,2017-02-04,W,84,79
516,Miami (FL),Virginia Tech,2017-02-08,W,74,68
517,Miami (FL),Louisville,2017-02-11,L,66,71
518,Miami (FL),Georgia Tech,2017-02-15,W,70,61
519,Miami (FL),Clemson,2017-02-18,W,71,65
520,Miami (FL),Virginia,2017-02-20,W,54,48
521,Miami (FL),Duke,2017-02-25,W,55,50
522,Miami (FL),Virginia Tech,2017-02-27,L,61,66
523,Miami (FL),Florida State,2017-03-04,L,57,66
524,Miami (FL),Syracuse,2017-03-08,W,62,57
525,Miami (FL),North Carolina,2017-03-09,L,53,78
526,Michigan State,Arizona,2016-11-11,L,63,65
527,Michigan State,Kentucky,2016-11-15,L,48,69
528,Michigan State,Mississippi Valley State,2016-11-18,W,100,53
529,Michigan State,Florida Gulf Coast,2016-11-20,W,78,77
530,Michigan State,St. John's (NY),2016-11-23,W,73,62
531,Michigan State,Baylor,2016-11-24,L,58,73
532,Michigan State,Wichita State,2016-11-25,W,77,72
533,Michigan State,Duke,2016-11-29,L,69,78
534,Michigan State,Oral Roberts,2016-12-03,W,80,76
535,Michigan State,Youngstown State,2016-12-06,W,77,57
536,Michigan State,Tennessee Tech,2016-12-10,W,71,63
537,Michigan State,Northeastern,2016-12-18,L,73,81
538,Michigan State,Oakland,2016-12-21,W,77,65
539,Michigan State,Minnesota,2016-12-27,W,75,74
540,Michigan State,Northwestern,2016-12-30,W,61,52
541,Michigan State,Rutgers,2017-01-04,W,93,65
542,Michigan State,Penn State,2017-01-07,L,63,72
543,Michigan State,Minnesota,2017-01-11,W,65,47
544,Michigan State,Ohio State,2017-01-15,L,67,72
545,Michigan State,Indiana,2017-01-21,L,75,82
546,Michigan State,Purdue,2017-01-24,L,73,84
547,Michigan State,Michigan,2017-01-29,W,70,62
548,Michigan State,Nebraska,2017-02-02,W,72,61
549,Michigan State,Michigan,2017-02-07,L,57,86
550,Michigan State,Iowa,2017-02-11,W,77,66
551,Michigan State,Ohio State,2017-02-14,W,74,66
552,Michigan State,Purdue,2017-02-18,L,63,80
553,Michigan State,Nebraska,2017-02-23,W,88,72
554,Michigan State,Wisconsin,2017-02-26,W,84,74
555,Michigan State,Illinois,2017-03-01,L,70,73
556,Michigan State,Maryland,2017-03-04,L,60,63
557,Michigan State,Penn State,2017-03-09,W,78,51
558,Michigan State,Minnesota,2017-03-10,L,58,63
559,Iowa State,Savannah State,2016-11-11,W,113,71
560,Iowa State,Mount St. Mary's,2016-11-14,W,73,55
561,Iowa State,Citadel,2016-11-20,W,130,63
562,Iowa State,Indiana State,2016-11-24,W,73,71
563,Iowa State,Miami (FL),2016-11-25,W,73,56
564,Iowa State,Gonzaga,2016-11-27,L,71,73
565,Iowa State,Cincinnati,2016-12-01,L,54,55
566,Iowa State,Nebraska-Omaha,2016-12-05,W,91,47
567,Iowa State,Iowa,2016-12-08,L,64,78
568,Iowa State,Drake,2016-12-17,W,97,80
569,Iowa State,Mississippi Valley State,2016-12-20,W,88,60
570,Iowa State,Texas Tech,2016-12-30,W,63,56
571,Iowa State,Baylor,2017-01-04,L,63,65
572,Iowa State,Texas,2017-01-07,W,79,70
573,Iowa State,Oklahoma State,2017-01-11,W,96,86
574,Iowa State,Texas Christian,2017-01-14,L,77,84
575,Iowa State,Kansas,2017-01-16,L,72,76
576,Iowa State,Oklahoma,2017-01-21,W,92,87
577,Iowa State,Kansas State,2017-01-24,W,70,65
578,Iowa State,Vanderbilt,2017-01-28,L,78,84
579,Iowa State,West Virginia,2017-01-31,L,72,85
580,Iowa State,Kansas,2017-02-04,W,92,89
581,Iowa State,Texas,2017-02-07,L,65,67
582,Iowa State,Oklahoma,2017-02-11,W,80,64
583,Iowa State,Kansas State,2017-02-15,W,87,79
584,Iowa State,Texas Christian,2017-02-18,W,84,71
585,Iowa State,Texas Tech,2017-02-20,W,82,80
586,Iowa State,Baylor,2017-02-25,W,72,69
587,Iowa State,Oklahoma State,2017-02-28,W,86,83
588,Iowa State,West Virginia,2017-03-03,L,76,87
589,Iowa State,Oklahoma State,2017-03-09,W,92,83
590,Iowa State,Texas Christian,2017-03-10,W,84,63
591,Iowa State,West Virginia,2017-03-11,W,80,74
592,Nevada,Saint Mary's (CA),2016-11-11,L,63,81
593,Nevada,Loyola Marymount,2016-11-14,W,79,64
594,Nevada,Oregon State,2016-11-18,W,83,58
595,Nevada,Iona,2016-11-20,W,91,76
596,Nevada,Oakland,2016-11-23,W,82,78
597,Nevada,Buffalo,2016-11-25,W,67,62
598,Nevada,Iona,2016-11-26,L,73,75
599,Nevada,Pacific,2016-11-29,W,77,67
600,Nevada,Bradley,2016-12-03,W,91,69
601,Nevada,Washington,2016-12-11,W,87,85
602,Nevada,UC-Irvine,2016-12-14,W,76,69
603,Nevada,Towson,2016-12-21,W,81,72
604,Nevada,UC-Santa Barbara,2016-12-22,W,67,66
605,Nevada,San Jose State,2016-12-28,W,80,55
606,Nevada,Fresno State,2016-12-31,L,76,77
607,Nevada,San Diego State,2017-01-04,W,72,69
608,Nevada,New Mexico,2017-01-07,W,105,104
609,Nevada,Wyoming,2017-01-14,W,89,74
610,Nevada,Air Force,2017-01-18,W,83,76
611,Nevada,Fresno State,2017-01-21,L,76,81
612,Nevada,Boise State,2017-01-25,W,76,57
613,Nevada,New Mexico,2017-01-28,W,82,65
614,Nevada,Utah State,2017-02-01,L,57,74
615,Nevada,Nevada-Las Vegas,2017-02-08,W,104,77
616,Nevada,San Diego State,2017-02-12,L,56,70
617,Nevada,Air Force,2017-02-15,W,78,59
618,Nevada,Utah State,2017-02-18,W,77,66
619,Nevada,Boise State,2017-02-22,W,85,77
620,Nevada,Nevada-Las Vegas,2017-02-25,W,94,58
621,Nevada,San Jose State,2017-03-01,W,82,67
622,Nevada,Colorado State,2017-03-04,W,85,72
623,Nevada,Utah State,2017-03-09,W,83,69
624,Nevada,Fresno State,2017-03-10,W,83,72
625,Nevada,Colorado State,2017-03-11,W,79,71
626,Purdue,McNeese State,2016-11-11,W,109,65
627,Purdue,Villanova,2016-11-14,L,76,79
628,Purdue,Georgia State,2016-11-18,W,64,56
629,Purdue,Utah State,2016-11-22,W,85,64
630,Purdue,Auburn,2016-11-23,W,96,71
631,Purdue,NJIT,2016-11-26,W,79,68
632,Purdue,Louisville,2016-11-30,L,64,71
633,Purdue,Morehead State,2016-12-03,W,90,56
634,Purdue,Arizona State,2016-12-06,W,97,64
635,Purdue,Cleveland State,2016-12-10,W,77,53
636,Purdue,Notre Dame,2016-12-17,W,86,81
637,Purdue,Western Illinois,2016-12-19,W,82,50
638,Purdue,Norfolk State,2016-12-21,W,91,45
639,Purdue,Iowa,2016-12-28,W,89,67
640,Purdue,Minnesota,2017-01-01,L,82,91
641,Purdue,Ohio State,2017-01-05,W,76,75
642,Purdue,Wisconsin,2017-01-08,W,66,55
643,Purdue,Iowa,2017-01-12,L,78,83
644,Purdue,Illinois,2017-01-17,W,91,68
645,Purdue,Penn State,2017-01-21,W,77,52
646,Purdue,Michigan State,2017-01-24,W,84,73
647,Purdue,Nebraska,2017-01-29,L,80,83
648,Purdue,Northwestern,2017-02-01,W,80,59
649,Purdue,Maryland,2017-02-04,W,73,72
650,Purdue,Indiana,2017-02-09,W,69,64
651,Purdue,Rutgers,2017-02-14,W,74,55
652,Purdue,Michigan State,2017-02-18,W,80,63
653,Purdue,Penn State,2017-02-21,W,74,70
654,Purdue,Michigan,2017-02-25,L,70,82
655,Purdue,Indiana,2017-02-28,W,86,75
656,Purdue,Northwestern,2017-03-05,W,69,65
657,Purdue,Michigan,2017-03-10,L,70,74
658,Vermont,Quinnipiac,2016-11-12,W,94,70
659,Vermont,Providence,2016-11-14,L,58,80
660,Vermont,Marist,2016-11-16,W,76,72
661,Vermont,Lyndon State,2016-11-19,W,79,20
662,Vermont,Wofford,2016-11-21,W,60,59
663,Vermont,Hofstra,2016-11-22,W,87,73
664,Vermont,Houston,2016-11-23,L,71,72
665,Vermont,Yale,2016-11-26,W,67,65
666,Vermont,South Carolina,2016-12-01,L,50,68
667,Vermont,Dartmouth,2016-12-07,W,73,58
668,Vermont,Northeastern,2016-12-10,L,57,59
669,Vermont,Eastern Michigan,2016-12-17,W,82,74
670,Vermont,Butler,2016-12-21,L,69,81
